Date,Open,High,Low,Close,Adj Close,Volume
2018-10-03,60.669998,61.970001,60.450001,61.830002,61.830002,617000
2018-10-04,61.630001,61.814999,60.400002,60.919998,60.919998,455800
2018-10-05,61.119999,61.820000,60.090000,61.180000,61.180000,637300
2018-10-08,60.970001,61.939999,60.580002,61.029999,61.029999,536600
2018-10-09,61.110001,62.840000,61.110001,61.750000,61.750000,513400
2018-10-10,61.750000,61.750000,56.900002,57.200001,57.200001,1451300
2018-10-11,56.770000,57.299999,55.849998,55.980000,55.980000,624500
2018-10-12,57.049999,58.119999,56.230000,57.110001,57.110001,445700
2018-10-15,57.380001,58.759998,56.580002,58.029999,58.029999,630400
2018-10-16,58.400002,60.599998,57.669998,60.400002,60.400002,474300
2018-10-17,60.250000,60.700001,59.230000,60.619999,60.619999,344100
2018-10-18,60.549999,61.169998,57.639999,58.380001,58.380001,606200
2018-10-19,58.700001,58.919998,53.860001,54.619999,54.619999,919900
2018-10-22,54.750000,55.400002,54.090000,54.470001,54.470001,430700
2018-10-23,53.290001,53.990002,51.529999,53.200001,53.200001,703800
2018-10-24,53.220001,54.070000,50.549999,50.669998,50.669998,997500
2018-10-25,51.160000,53.590000,50.889999,52.490002,52.490002,642600
2018-10-26,51.820000,53.000000,50.410999,52.250000,52.250000,568400
2018-10-29,52.849998,53.580002,49.230000,50.070000,50.070000,919300
2018-10-30,49.860001,52.990002,49.490002,52.820000,52.820000,673600
2018-10-31,53.730000,54.110001,51.939999,52.889999,52.889999,593100
2018-11-01,53.230000,55.169998,52.439999,54.799999,54.799999,1215500
2018-11-02,50.500000,51.298000,46.310001,47.189999,47.189999,4095400
2018-11-05,47.000000,47.939999,46.509998,47.450001,47.450001,1419500
2018-11-06,48.529999,50.680000,47.755001,50.070000,50.070000,1117400
2018-11-07,50.360001,51.810001,49.310001,51.709999,51.709999,960000
2018-11-08,51.169998,52.139999,50.669998,50.849998,50.849998,812500
2018-11-09,50.730000,52.169998,50.330002,50.939999,50.939999,508000
2018-11-12,50.959999,52.360001,50.799999,51.330002,51.330002,675500
2018-11-13,51.330002,51.450001,48.240002,48.240002,48.240002,964300
2018-11-14,48.599998,50.189999,48.459999,49.060001,49.060001,584700
2018-11-15,48.770000,50.590000,48.439999,50.389999,50.389999,861700
